FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
42117,PA,TIOGA,0.857143,17.0,23.32,routine,10.0089,0.0283
51113,VA,MADISON,1.285714,11.0,23.11,routine,5.6786,0.1602
51043,VA,CLARKE,1.107143,12.0,23.07,routine,6.9286,0.0865
54029,WV,HANCOCK,-3.440476,43.0,22.76,routine,23.8452,0.0766
39121,OH,NOBLE,1.452381,16.0,22.44,routine,6.1815,0.1815
42105,PA,POTTER,-1.166667,21.0,21.67,routine,6.6667,0.0938
21011,KY,BATH,-3.821429,33.0,21.54,routine,11.5804,0.2491
39125,OH,PAULDING,1.488095,14.0,21.3,routine,3.8631,0.3498
21187,KY,OWEN,0.559524,15.0,21.26,routine,4.6815,0.0484
21009,KY,BARREN,-6.154762,48.0,20.37,routine,9.9494,0.546
54023,WV,GRANT,0.107143,7.0,19.89,routine,8.9796,0.0004
54065,WV,MORGAN,-2.178571,28.0,19.71,routine,19.4554,0.0351
51025,VA,BRUNSWICK,0.559524,12.0,19.51,routine,7.4851,0.0226
21157,KY,MARSHALL,0.690476,29.0,18.99,routine,5.75,0.0506
42041,PA,CUMBERLAND,-2.547619,17.0,18.94,routine,10.4762,0.1779
42009,PA,BEDFORD,-3.059524,21.0,18.74,routine,5.6548,0.5682
51510,VA,ALEXANDRIA CITY,0.660959,11.0,18.49,routine,6.6918,0.0469
51147,VA,PRINCE EDWARD,-1.654762,19.0,17.37,routine,6.2232,0.1858
51053,VA,DINWIDDIE,0.97619,16.0,17.35,routine,4.7619,0.1493
51650,VA,HAMPTON CITY,-3.738095,36.0,17.2,routine,29.6577,0.0421
21191,KY,PENDLETON,-3.928571,21.0,16.96,routine,16.4018,0.1314
42119,PA,UNION,0.452381,25.0,16.69,routine,5.994,0.025
21183,KY,OHIO,-1.345238,13.0,16.63,routine,12.128,0.0457
54101,WV,WEBSTER,0.178571,12.0,16.5,routine,5.0102,0.0044
21031,KY,BUTLER,1.190476,6.0,16.24,routine,3.7976,0.2681
54047,WV,MCDOWELL,-0.785714,15.0,15.36,routine,7.2041,0.0342
51183,VA,SUSSEX,0.738095,17.0,15.3,routine,2.9673,0.1972
51131,VA,NORTHAMPTON,1.357143,6.0,15.29,routine,2.4286,0.4738
51097,VA,KING AND QUEEN,1.685714,16.0,15.1,routine,3.3429,0.3801
51049,VA,CUMBERLAND,0.797619,15.0,15.06,routine,2.875,0.2248
51075,VA,GOOCHLAND,0.97619,17.0,14.85,routine,3.503,0.2501
42093,PA,MONTOUR,0.130952,11.0,14.73,routine,8.3125,0.0007
21079,KY,GARRARD,-1.011905,27.0,14.55,routine,5.9643,0.0921
54041,WV,LEWIS,-6.75,7.0,14.36,routine,52.1224,0.038
54021,WV,GILMER,0.892857,5.0,14.36,routine,4.3333,0.12
39019,OH,CARROLL,-0.27381,19.0,12.85,routine,3.5565,0.0175
51063,VA,FLOYD,-0.047619,14.0,12.69,routine,5.006,0.0003
51081,VA,GREENSVILLE,-0.345238,15.0,12.63,routine,3.9375,0.0265
21033,KY,CALDWELL,-0.642857,10.0,12.32,routine,6.25,0.0256
21223,KY,TRIMBLE,0.059524,5.0,12.26,routine,7.3214,0.0003
21213,KY,SIMPSON,-1.357143,10.0,12.18,routine,5.3214,0.1682
54069,WV,OHIO,-12.571429,24.0,12.04,routine,27.4732,0.4038
21069,KY,FLEMING,-3.333333,35.0,11.58,routine,12.0,0.2169
54057,WV,MINERAL,-0.690476,22.0,11.26,routine,7.75,0.0323
21225,KY,UNION,0.771429,8.0,10.85,routine,0.7079,0.7021
51101,VA,KING WILLIAM,0.166667,8.0,10.83,routine,3.4583,0.0084
21003,KY,ALLEN,-3.154762,20.0,10.37,routine,14.3185,0.0952
39171,OH,WILLIAMS,0.607143,1.0,10.07,routine,3.9821,0.0803
51540,VA,CHARLOTTESVILLE CITY,-0.39,17.0,10.03,routine,9.37,0.0063
21005,KY,ANDERSON,-2.392857,20.0,9.82,routine,3.625,0.5727
51103,VA,LANCASTER,0.404762,9.0,9.63,routine,2.1994,0.1012
21075,KY,FULTON,-0.511905,23.0,9.55,routine,5.9018,0.0276
39137,OH,PUTNAM,0.660959,3.0,9.49,routine,2.8855,0.2098
51021,VA,BLAND,-0.202381,6.0,9.31,routine,3.7232,0.0106
21163,KY,MEADE,-2.321429,12.0,9.29,routine,10.5982,0.1093
21017,KY,BOURBON,-3.785714,23.0,9.14,routine,8.0357,0.4229
21061,KY,EDMONSON,-0.77381,16.0,8.35,routine,4.5655,0.0744
21215,KY,SPENCER,0.178571,2.0,8.29,routine,2.8393,0.0135
21077,KY,GALLATIN,-1.285714,4.0,8.14,routine,10.3929,0.0637
51800,VA,SUFFOLK CITY,-3.25,12.0,7.75,routine,27.125,0.038
42053,PA,FOREST,0.158798,9.0,7.15,routine,2.0343,0.0252
54103,WV,WETZEL,-1.119048,3.0,6.73,routine,10.6101,0.0487
21055,KY,CRITTENDEN,-0.392857,9.0,6.54,routine,2.0714,0.1043
21137,KY,LINCOLN,-2.214286,9.0,6.36,routine,6.9464,0.2465
39069,OH,HENRY,-0.702381,2.0,6.31,routine,4.9048,0.065
21099,KY,HART,-0.357143,5.0,6.18,routine,4.9107,0.0237
54017,WV,DODDRIDGE,-0.809524,8.0,5.99,routine,8.4702,0.0297
39075,OH,HOLMES,-2.047619,12.0,5.69,routine,6.7857,0.2453
51057,VA,ESSEX,-0.357143,4.0,5.68,routine,4.1339,0.0206
21221,KY,TRIGG,-0.057377,4.0,5.65,routine,1.185,0.0082
21119,KY,KNOTT,-9.714286,44.0,5.36,routine,32.6964,0.2457
54049,WV,MARION,-18.511905,19.0,5.3,routine,47.9673,0.3356
51690,VA,MARTINSVILLE CITY,-0.644068,6.0,5.25,routine,8.7458,0.0183
21139,KY,LIVINGSTON,-0.107143,2.0,5.18,routine,2.6607,0.0061
54089,WV,SUMMERS,-2.178571,2.0,4.61,routine,19.7551,0.0227
51181,VA,SURRY,0.356757,4.0,4.56,routine,0.6072,0.4905
42031,PA,CLARION,-5.571429,30.0,4.54,routine,8.3929,0.6553
54015,WV,CLAY,-0.371429,4.0,4.38,routine,2.5302,0.041
51600,VA,FAIRFAX CITY,-1.803279,17.0,4.07,routine,10.6136,0.1095
51111,VA,LUNENBURG,-1.190476,8.0,4.01,routine,3.9524,0.1936
21127,KY,LAWRENCE,-3.857143,16.0,3.93,routine,10.125,0.3324
